"","Name","raised_amount_usd"
"RockPort Capital Partners","RockPort Capital Partners",16175000
"Rogers Ventures","Rogers Ventures",10528421.6666667
"Romulus Capital","Romulus Capital",3553750
"Rothenberg Ventures","Rothenberg Ventures",4508835.60869565
"Rough Draft Ventures","Rough Draft Ventures",1062875
"RRE Ventures","RRE Ventures",5777480.65957447
"RTP Ventures","RTP Ventures",21910343.9333333
"Rustic Canyon Partners","Rustic Canyon Partners",12620616.6666667
"Samsung Ventures","Samsung Ventures",13413542.7407407
"San Francisco Equity Partners","San Francisco Equity Partners",3832500
"SAP Ventures","SAP Ventures",15027765
"Scale Venture Partners","Scale Venture Partners",15907238.4375
"Science","Science",6328571.42857143
"Scottish Equity Partners","Scottish Equity Partners",12590791.7979798
"Scout Ventures","Scout Ventures",1922500
"Seaya Ventures","Seaya Ventures",5929125
"Seed Capital de Bizkaia","Seed Capital de Bizkaia",1202490
"SeedRocket","SeedRocket",1003540
"Sequoia Capital","Sequoia Capital",7400649.72079208
"Serra Ventures","Serra Ventures",832000
"Seven Spires Investment","Seven Spires Investment",4320000
"SeventySix Captial","SeventySix Captial",16585150
"Sevin Rosen Funds","Sevin Rosen Funds",7937088.60759494
"Shackleton Ventures","Shackleton Ventures",1410053
"Shasta Ventures","Shasta Ventures",6774764.34285714
"Siemens Venture Capital","Siemens Venture Capital",7860043.06451613
"Siemer Ventures","Siemer Ventures",1614488.48888889
"Sierra Maya Ventures","Sierra Maya Ventures",1137500
"Sierra Ventures","Sierra Ventures",6333594.05940594
"Sigma Partners","Sigma Partners",5618684.51
"Sigma Prime Ventures","Sigma Prime Ventures",5740000
"Sigma West","Sigma West",10837500
"Signia Venture Partners","Signia Venture Partners",3918294.03846154
"Silas Capital","Silas Capital",9250000
"Silicon Valley Bank","Silicon Valley Bank",11526125.0789474
"Silver Lake Partners","Silver Lake Partners",159277777.777778
"Sirius Venture Partners","Sirius Venture Partners",2026500
"SJF Ventures","SJF Ventures",10380555.5555556
"Slow Ventures","Slow Ventures",4106285.71428571
"Social Leverage","Social Leverage",2098500
"Social Starts","Social Starts",2391928.90322581
"Social Venture Fund","Social Venture Fund",2862500
"SocialStarts","SocialStarts",350000
"SODENA","SODENA",2437591.57142857
"Sofinnova Ventures","Sofinnova Ventures",20787126.3972603
"SoftBank Capital","SoftBank Capital",15176364.8015267
"SoftTech VC","SoftTech VC",2321776.792
"Solon Ventures","Solon Ventures",15816420.6666667
"Southern Cross Venture Partners","Southern Cross Venture Partners",11844000
"Spark Capital","Spark Capital",10997968.75
"Spark Ventures","Spark Ventures",6211153.95238095
"Spectrum Equity","Spectrum Equity",75519866.6666667
"Speedinvest","Speedinvest",1128479.5
"Split Rock Partners","Split Rock Partners",13864625
"Staley Capital Advisors","Staley Capital Advisors",9e+06
"Star Ventures","Star Ventures",11352708.3333333
"Starfish Ventures","Starfish Ventures",4354636.11111111
"Start Fund","Start Fund",1394431.81818182
"StarVest Partners","StarVest Partners",9777582.66666667
"Steamboat Ventures","Steamboat Ventures",13123529.372549
"Storm Ventures","Storm Ventures",6549696.42045455
"Strive Capital","Strive Capital",1800000
"Subtraction Capital","Subtraction Capital",2302308.09090909
"Summerhill Venture Partners","Summerhill Venture Partners",12204767.4827586
"Summit Partners","Summit Partners",36020749.125
"Sunstone Capital","Sunstone Capital",9481997.31707317
"Sutter Hill Ventures","Sutter Hill Ventures",12222504.587156
"SV Angel","SV Angel",3581119.92467532
"SV Life Sciences","SV Life Sciences",15583262.2278481
"Synergis Technologies","Synergis Technologies",3071153.33333333
"T-Venture","T-Venture",12425646.8965517
"T2 Venture Capital","T2 Venture Capital",4100000
"TA Associates","TA Associates",96798222.2222222
"Talde venture capital","Talde venture capital",6982666.66666667
"Target Partners","Target Partners",6150341.17647059
"Tate & Lyle Ventures","Tate & Lyle Ventures",8807361.75
"Technology Crossover Ventures","Technology Crossover Ventures",78232523.7878788
"TechnoStart","TechnoStart",16233315
"TechOperators","TechOperators",10605555.5555556
