company_name,investor_name,investor_category_code,funded_year
Covestor,betaworks,social,2008
Someecards,betaworks,social,2008
Lotame,betaworks,social,2008
Outside.in,betaworks,social,2008
OMGPOP,betaworks,social,2008
Mob.ly,betaworks,social,2008
Tipjoy,betaworks,social,2008
Outside.in,betaworks,social,2008
StockTwits,betaworks,social,2008
StockTwits,betaworks,social,2008
TweetDeck,betaworks,social,2009
UserVoice,betaworks,social,2009
ChallengePost,betaworks,social,2009
gdgt,betaworks,social,2009
DailyBooth,betaworks,social,2009
Hot Potato,betaworks,social,2009
Superfeedr,betaworks,social,2009
Outside.in,betaworks,social,2009
Venmo,betaworks,social,2010
Backupify,betaworks,social,2010
Bitly,betaworks,social,2008
Bitly,betaworks,social,2010
gdgt,betaworks,social,2010
UberMedia,betaworks,social,2010
TweetDeck,betaworks,social,2010
Extension Entertainment,betaworks,social,2010
Fluidinfo,betaworks,social,2010
Open Places,betaworks,social,2010
SocialFlow,betaworks,social,2010
Ze Frank Games,betaworks,social,2010
Embedly,betaworks,social,2010
GroupMe,betaworks,social,2010
AdKeeper,betaworks,social,2010
Bitly,betaworks,social,2010
